,player_name,player_total_points,player_raids_total,player_raid_points_touch,player_raid_points_raid_bonus,player_tackle_points_total,player_tackle_points_touch,player_raids_successful,player_raids_unsuccessful,player_raids_Empty
302,John Muremwa,13,30,8,3,2,2,8,9,13
303,Jorge Barraza,0,3,0,0,0,0,0,3,0
304,Joseph,0,0,0,0,0,0,0,0,0
305,Joshua Enson,4,4,0,0,4,4,0,3,1
306,Julian Perez,0,4,0,0,0,0,0,4,0
307,Julius Nyaduwa,4,6,1,3,0,0,3,1,2
308,Jyoti,10,34,9,0,1,1,7,18,9
309,K Naveen,21,21,15,5,1,1,15,2,4
310,K Prapanjan,7,14,4,1,2,2,3,4,7
311,K. Jayaseelan,0,3,0,0,0,0,0,1,2
312,K. Prapanjan,353,783,284,64,5,5,283,180,320
313,Kalimuthu Balamahendran,30,54,15,3,12,12,10,11,32
314,Kamal Kishor,0,9,0,0,0,0,0,8,1
315,Kamal Kishor Jat,0,0,0,0,0,0,0,0,0
316,Kamal Singh,17,42,6,7,4,3,7,10,25
317,Karambir Thakur,6,13,5,1,0,0,4,6,3
318,KarmbirÃ‚Â Kheda,7,13,4,1,2,2,6,5,2
319,Karunanadhi,3,5,3,0,0,0,3,1,1
320,Kashif Razzaq,7,1,1,0,6,5,1,0,0
321,Kashiling Adake,647,1203,414,148,85,79,431,270,501
322,Kavita Thakur,15,24,10,0,5,5,7,9,8
323,Kazem Naseri,9,12,7,0,2,2,6,4,2
324,Kazuhiro Takano,32,59,16,9,7,6,20,7,32
325,Kedar Lal,13,43,9,3,1,1,7,11,25
326,Keshav Gupta,33,72,28,5,0,0,25,17,30
327,Kevin Caldwell,11,14,1,1,9,7,2,6,6
328,Kevin Wire,3,3,3,0,0,0,2,1,0
329,Khomsan Thongkham,61,94,40,17,4,4,49,17,28
330,Khunakon Chanjaroen,36,39,24,1,11,11,22,7,10
331,Khushbu Narwal,11,19,1,0,10,10,1,0,18
332,Kiran A,0,1,0,0,0,0,0,0,1
333,Kiran M,0,0,0,0,0,0,0,0,0
334,Kiran Parmar,14,17,10,4,0,0,12,2,3
335,Kishori Shinde,16,0,0,0,16,15,0,0,0
336,Kittichai Kanket,8,9,2,1,5,5,1,3,5
337,Komang Ariningsih,0,0,0,0,0,0,0,0,0
338,Krushna Madane,15,12,1,0,14,14,1,2,9
339,Krzysztof Tomczak,5,1,1,0,4,4,1,0,0
340,Krzysztof Wozniak,13,15,11,2,0,0,11,2,2
341,Kshiteeja Hirve,3,0,0,0,3,3,0,0,0
342,Kuldeep,2,3,0,0,2,2,0,2,1
343,Kuldeep Punia,4,1,0,1,3,3,0,1,0
344,Kuldeep Singh,315,286,46,40,229,201,57,66,163
345,Lahiru Kuruppu,10,13,0,4,6,4,3,4,6
346,Lakhan Varkiya,0,0,0,0,0,0,0,0,0
347,Lal Mohar Yadav,0,0,0,0,0,0,0,0,0
348,Lalit Chaudhary,9,12,3,2,4,3,3,6,3
349,Lalita,11,0,0,0,11,10,0,0,0
350,Laraswati Ni Putu Dewi,10,17,5,5,0,0,6,6,5
351,Lin Chen Ying,0,0,0,0,0,0,0,0,0
352,Lo Chia Wei,0,3,0,0,0,0,0,0,3
353,Lokesh Kaushik,4,11,2,0,2,2,2,5,4
354,Love Kumar,0,0,0,0,0,0,0,0,0
355,M Mariya Mounika,4,16,4,0,0,0,3,8,5
356,M Suman,3,2,0,1,2,2,1,1,0
357,M V Narendra,0,0,0,0,0,0,0,0,0
358,M. Abishek,1,0,0,0,1,1,0,0,0
359,M. Thivakaran,16,36,10,4,2,2,11,10,15
360,Madhu,0,0,0,0,0,0,0,0,0
361,Mahboobeh Sanchooli,0,0,0,0,0,0,0,0,0
362,Mahender Reddy,0,0,0,0,0,0,0,0,0
363,Mahender Singh,165,19,0,1,164,151,1,2,16
364,Mahendra Ganesh Rajput,119,220,79,16,24,22,71,67,81
365,Mahendra Rajput,97,183,75,15,7,7,68,47,68
366,Mahendra Singh Dhaka,0,0,0,0,0,0,0,0,0
367,Mahesh Goud,212,456,133,33,46,43,135,116,204
368,Mahesh Magdum,7,12,2,5,0,0,5,6,1
369,Mahesh Timmapur,11,21,9,1,1,1,9,7,5
370,Mahipal Narwal,92,169,48,9,35,33,42,45,81
371,Makoto Sawazu,10,21,7,1,2,2,6,6,9
372,Mamtha Poojari,20,59,12,2,6,6,10,11,38
373,Mandeep,0,0,0,0,0,0,0,0,0
374,Mandeep Kumar,10,21,3,2,5,5,2,6,13
375,Mangesh Bhagat,58,81,21,11,26,26,22,27,29
376,Maninder Singh,693,1137,540,107,46,46,532,232,373
377,Manish,51,4,0,1,50,43,0,3,1
378,Manish Kumar,0,0,0,0,0,0,0,0,0
379,Manish Sharma,6,8,5,0,1,1,4,1,3
380,Maniveera Kantha,7,11,6,1,0,0,3,5,3
381,Manjeet,194,364,129,27,38,36,139,91,134
382,Manjeet Chhillar,586,713,189,35,362,346,180,130,401
383,Manjeet Kandola,0,0,0,0,0,0,0,0,0
384,Manjeet Rathi,0,0,0,0,0,0,0,0,0
385,Manoj Dhull,24,0,0,0,24,23,0,0,0
386,Manoj Kumar,86,73,19,6,61,53,16,14,43
387,Manoj Kumar Gora,0,2,0,0,0,0,0,0,2
388,Manpreet Kaur,2,0,0,0,2,2,0,0,0
389,Manpreet Singh,29,107,14,10,5,5,20,16,71
390,Mariano Pascual,30,72,16,11,3,3,22,23,27
391,Masaki Hatakeyama,6,26,6,0,0,0,6,8,12
392,Masayuki Shimokawa,25,60,19,1,5,4,16,14,30
393,Mason Dhani-Ali,0,0,0,0,0,0,0,0,0
394,Masud Karim,3,4,2,1,0,0,2,2,0
395,Mathan Kumar,0,0,0,0,0,0,0,0,0
396,Matias Martinez,6,8,3,1,2,1,3,4,1
397,Matthew Kos,2,5,1,1,0,0,1,1,3
398,Mayur Shivtarkar,33,62,5,4,24,24,7,20,35
399,Md. Arduzzaman Munshi,0,0,0,0,0,0,0,0,0
400,Md. Aruduzzaman Munshi,3,4,2,0,1,1,2,1,1
401,Md. Tuhin Tarafder,0,0,0,0,0,0,0,0,0
402,Md. Zakir Hossain,0,0,0,0,0,0,0,0,0
403,Meenal Jadhav,5,8,1,0,4,3,1,2,5
404,Meisam Abbasi,2,1,0,0,2,2,0,0,1
405,Meraj Sheykh,424,921,318,49,57,51,280,184,457
406,Meredydd Rix,0,0,0,0,0,0,0,0,0
407,Michael Adam Dubery,0,0,0,0,0,0,0,0,0
408,Michal Spiczko,48,48,31,9,8,8,28,11,9
409,Milad Sheibak,5,4,0,0,5,4,0,2,2
410,Milan Nayee,5,18,3,0,2,2,3,3,12
411,Milinda Chathuranga,4,12,1,3,0,0,2,5,5
412,Minal Jadhav,6,19,5,0,1,1,2,9,8
413,Mithin Kumar,3,10,1,2,0,0,2,3,5
414,Mithurshan,0,0,0,0,0,0,0,0,0
415,Mofimondal,9,0,0,0,9,7,0,0,0
416,Mohammad Esmaeil,78,176,39,21,18,13,52,29,95
417,Mohammad Ghorbani,19,22,15,3,1,1,13,2,7
418,Mohammad Maghshoudulu,0,0,0,0,0,0,0,0,0
419,Mohammad Maghsoudlou,15,50,10,4,1,1,9,32,9
420,Mohammad Malak,11,2,1,0,10,10,1,0,1
421,Mohammad Taghi,15,33,12,2,1,1,10,9,14
422,Mohammad Ziaur Rahman,0,0,0,0,0,0,0,0,0
423,Mohammadesmaeil,21,37,15,5,1,1,13,6,18
424,Mohammadtaghi,9,24,8,0,1,1,6,5,13
425,Mohan Raman G,8,9,5,3,0,0,4,4,1
426,Mohana R,0,1,0,0,0,0,0,1,0
427,Mohit,0,0,0,0,0,0,0,0,0
428,Mohit Balyan,0,0,0,0,0,0,0,0,0
429,Mohit Chhillar,272,33,4,3,265,246,3,3,27
430,Mohit Jakhar,0,0,0,0,0,0,0,0,0
431,Mohit Narwal,3,5,1,2,0,0,1,3,1
432,Mohit Sehrawat,16,42,4,1,11,9,4,9,29
433,Mohsen M. Loujafari,4,4,2,2,0,0,4,0,0
434,Mohsen Maghsoudlou,138,267,71,28,39,34,74,65,128
435,Monika Devi,6,27,1,0,5,5,1,4,22
436,Monisha Mete,0,0,0,0,0,0,0,0,0
437,Monu,150,258,61,12,77,66,63,66,129
438,Monu Goyat,524,1031,366,132,26,23,420,239,372
439,More G B,16,45,10,4,2,2,13,15,17
440,More GB,141,279,69,43,29,26,88,75,116
441,Mostafa Noudehi,0,0,0,0,0,0,0,0,0
442,Moti Chandan,10,0,0,0,10,9,0,0,0
443,Mudassar Ali,22,56,15,5,2,2,16,7,33
444,Mudibo Oguta,0,0,0,0,0,0,0,0,0
445,Mugilan,0,0,0,0,0,0,0,0,0
446,Muhammad Imran,8,20,4,0,4,4,4,3,13
447,Muhammad Nadeem,29,60,21,5,3,2,23,11,26
448,Muhammad Nisar,2,10,1,0,1,1,1,4,5
449,Muhammad Rizwan,0,0,0,0,0,0,0,0,0
450,Muhammad Safian,0,0,0,0,0,0,0,0,0
451,Muhammad Tariq,0,1,0,0,0,0,0,1,0
452,Mukesh Jaglan,4,15,4,0,0,0,3,7,5
453,Mula Siva Ganesh Reddy,0,1,0,0,0,0,0,1,0
454,Munish,1,4,0,1,0,0,0,3,1
455,Muruthu M,3,2,0,0,3,3,0,2,0
456,Mustafa,0,0,0,0,0,0,0,0,0
457,Muzammal Hussain,1,1,0,1,0,0,0,1,0
458,N. Renjith,13,0,0,0,13,11,0,0,0
459,N. Shiva Ramakrishna,2,0,0,0,2,1,0,0,0
460,Nabibakhsh,5,11,5,0,0,0,5,3,3
461,Nageshwar Singh,9,22,6,3,0,0,6,5,11
462,Nahuel Lopez,35,64,23,7,5,4,21,21,22
463,Nahuel Villamayor,45,94,33,9,3,2,32,35,27
464,Nahul,0,0,0,0,0,0,0,0,0
465,Namdev Iswalkar,29,28,7,9,13,9,11,3,14
466,Narendar Kumar,0,2,0,0,0,0,0,1,1
467,Narender,42,0,0,0,42,37,0,0,0
468,Narendra Kumar,0,0,0,0,0,0,0,0,0
469,Nasir Ali,8,0,0,0,8,6,0,0,0
470,Naveen,155,302,106,33,16,14,115,77,110
471,Naveen Kumar,352,587,266,80,6,5,299,98,190
472,Naveen Malik,0,0,0,0,0,0,0,0,0
473,Naveen Narwal,1,0,0,0,1,1,0,0,0
474,Navjot Singh,1,0,0,0,1,1,0,0,0
475,Navneet,0,0,0,0,0,0,0,0,0
476,Navneet Gautam,5,6,0,1,4,4,0,1,5
477,Neeraj Kumar,48,5,0,0,48,45,0,2,3
478,Neeraj Narwal,0,4,0,0,0,0,0,3,1
479,Ni Kadek Amiariasti,0,0,0,0,0,0,0,0,0
480,Ni Kadek Ernawati,0,0,0,0,0,0,0,0,0
481,Ni Made Praarthini Samith Santih,1,0,0,0,1,1,0,0,0
482,Nicholas Cunningham,4,17,3,1,0,0,4,9,4
483,Nicholas George Mottram,0,0,0,0,0,0,0,0,0
484,Nicholas Mutua,0,0,0,0,0,0,0,0,0
485,Nick Cunnigham,0,0,0,0,0,0,0,0,0
486,Nikesh Farmah,6,1,0,0,6,6,0,1,0
487,Nilesh Salunke,300,714,176,109,15,13,219,157,338
488,Nilesh Shinde,130,78,6,12,112,100,11,13,54
489,Nirbhay Narwal,2,3,1,0,1,1,1,0,2
490,Nishant Sangwan,4,0,0,0,4,3,0,0,0
491,Nitesh Kumar,189,12,0,3,186,172,0,4,8
492,Nithesh B R,1,0,0,0,1,1,0,0,0
493,Nitin Chaudhary,0,0,0,0,0,0,0,0,0
494,Nitin Kumar,1,2,0,1,0,0,1,1,0
495,Nitin Madane,203,389,123,42,38,37,134,74,181
496,Nitin More,7,0,0,0,7,7,0,0,0
497,Nitin Rawal,162,295,94,28,40,35,92,62,141
498,Nitin Tomar,471,917,330,113,28,24,381,157,379
499,Odhiambo Ogak,24,19,2,2,20,15,4,3,12
500,Ogak Haggai Odhiambo,0,0,0,0,0,0,0,0,0
501,Onkar Jadhav,0,1,0,0,0,0,0,1,0
502,P V Durga Rao,4,10,4,0,0,0,4,5,1
503,Palle Mallikarjun,2,10,2,0,0,0,3,5,2
504,Pandranki Prasad,0,0,0,0,0,0,0,0,0
505,Pankaj,27,7,0,1,26,26,0,4,3
506,Pankaj Mohite,64,122,51,12,1,1,50,31,41
507,Pankaj Singh,3,1,0,0,3,2,0,1,0
508,Pardeep,5,7,4,0,1,1,4,3,0
509,Pardeep Kandola,0,0,0,0,0,0,0,0,0
510,Pardeep Narwal,1125,1901,975,140,10,9,876,431,594
511,Pareekshith Suvarna,3,2,1,1,1,1,1,1,0
512,Parmod Narwal,32,61,17,4,11,11,14,18,29
513,Parveen,32,7,1,2,29,23,1,1,5
514,Parveen Birwal,0,0,0,0,0,0,0,0,0
515,Parveen Kumar,3,2,1,0,2,1,1,1,0
516,Parveen M. Jangra,6,9,1,0,5,5,1,0,8
517,Parveen Narwal,1,2,1,0,0,0,1,1,0
518,Parvesh,12,30,5,2,5,4,5,11,14
519,Parvesh Attri,1,2,1,0,0,0,1,1,0
520,Parvesh Bhainswal,171,1,0,0,171,160,0,0,1
521,Parvinder,0,0,0,0,0,0,0,0,0
522,Patrick Muvai,12,38,8,4,0,0,11,13,14
523,Patryk Dumicz,7,7,4,1,2,2,5,2,0
524,Paul Dykes,0,1,0,0,0,0,0,0,1
525,Pavan Davies,0,0,0,0,0,0,0,0,0
526,Pavan Putti,0,2,0,0,0,0,0,0,2
527,Pavan T. R.,11,0,0,0,11,9,0,0,0
528,Pavithra,0,4,0,0,0,0,0,2,2
529,Pawan Chhillar,0,0,0,0,0,0,0,0,0
530,Pawan Kumar,589,1083,478,91,20,18,443,272,368
531,Pawan Kumar Kadian,67,87,31,12,24,24,32,23,31
532,Pawan Sehrawat,202,303,145,46,11,10,151,86,66
533,Payel Chowdhury,32,63,14,11,7,7,22,17,24
534,Peeradach Jantajam,6,1,0,0,6,4,0,1,0
535,Peijyun Qin,0,0,0,0,0,0,0,0,0
536,Phelix Opana,29,38,12,9,8,7,17,12,9
537,Philip Mottram,2,1,2,0,0,0,1,0,0
538,Phodsawi Sawangyai,5,8,5,0,0,0,4,2,2
539,Phonchoo Tin,0,0,0,0,0,0,0,0,0
540,Phuwanai Wannasaen,19,15,5,2,12,12,6,4,5
541,Piotr Karnowicz,0,1,0,0,0,0,0,1,0
542,Piotr Pamulak,33,67,23,10,0,0,25,19,23
543,Piotr Sitek,2,0,0,0,2,2,0,0,0
544,Ponparthiban Subramanian,18,0,0,0,18,17,0,0,0
545,Pooja Kini,2,8,1,0,1,1,1,2,5
546,Pradeep Kumar,29,49,21,3,5,4,19,11,19
547,Pradnyawati I Gusti Anak Agung,0,5,0,0,0,0,0,3,2
548,Prakash Ramappa,1,5,1,0,0,0,1,2,2
549,Pramod Nagar,1,0,0,0,1,1,0,0,0
550,Pramot Saising,10,26,5,5,0,0,9,12,5
551,Prasad,0,1,0,0,0,0,0,1,0
552,Prashant Chavan,25,16,1,0,24,22,1,1,14
553,Prashant Kumar Rai,31,74,25,6,0,0,21,20,33
554,Prashant Rai K,58,106,46,8,4,3,42,19,45
555,Prashanth Kumar Rai,275,494,184,83,8,6,214,90,190
556,Prateek,5,8,0,3,2,2,1,3,4
557,Pratik Patil,0,0,0,0,0,0,0,0,0
558,Pratiwi W. Ni Komang Isna,6,2,0,0,6,4,0,0,2
559,Praveen Kumar,0,0,0,0,0,0,0,0,0
560,Pravin Niwale,68,120,57,5,6,6,43,23,54
561,Preetam Chhillar,42,71,12,3,27,27,9,12,50
562,Priyanka Negi,1,9,0,1,0,0,1,5,3
563,Punit Kumar Teotia,7,8,1,2,4,4,2,4,2
564,Purna Singh,4,12,3,1,0,0,3,3,6
565,Pushpakumara Madushan,0,4,0,0,0,0,0,2,2
566,Puspasari Ni Ketut,4,4,2,0,2,1,1,1,2
567,Qaisir Abbas,5,5,0,0,5,4,0,3,2
568,R Nagaraju,1,2,0,0,1,1,0,2,0
569,R Suresh Kumar,21,28,14,7,0,0,16,2,10
570,R. Sriram,36,89,30,5,1,1,29,29,31
571,Rafael Acevedo,12,6,0,0,12,11,0,1,5
572,Raheleh Naderi,0,0,0,0,0,0,0,0,0
573,Rahul Chaudhari,1082,2033,822,164,96,92,827,392,813
574,Rahul Choudhary,6,17,5,0,1,1,5,7,5
575,Rahul Kumar,22,1,0,0,22,20,0,0,1
576,Rahul Mawane,0,0,0,0,0,0,0,0,0
577,Rajaguru Subramanian,36,7,0,1,35,33,0,1,6
578,Rajat Bobade,11,19,11,0,0,0,6,8,5
579,Rajeev Kumar,4,0,0,0,4,4,0,0,0
580,Rajesh Dhiman,6,7,3,0,3,3,3,2,2
581,Rajesh Manokaran,0,0,0,0,0,0,0,0,0
582,Rajesh Mondal,295,793,239,22,34,34,219,207,366
583,Rajesh Narwal,411,761,233,59,119,111,232,150,379
584,Rajnish,27,71,12,14,1,1,23,19,29
585,Raju Lal Choudhary,21,0,0,0,21,21,0,0,0
586,Rakesh,0,0,0,0,0,0,0,0,0
587,Rakesh Bharadwaj,19,6,0,0,19,17,0,1,5
588,Rakesh Gowda,16,29,6,5,5,3,9,6,14
589,Rakesh Kumar,273,493,148,38,87,81,166,71,256
590,Rakesh Narwal,55,141,42,10,3,3,37,29,75
591,Rakesh Singh Kumar,28,11,1,0,27,26,1,0,10
592,Raksha Narkar,4,2,0,0,4,4,0,1,1
593,Rakshith,28,62,24,2,2,2,23,21,18
594,Ram Dyal,2,0,0,0,2,2,0,0,0
595,Ram Kumar Sah,4,7,2,1,1,1,3,2,2
596,Ramanjeet Singh,0,0,0,0,0,0,0,0,0
597,Ramesh Kumar,0,0,0,0,0,0,0,0,0
598,Ran Singh,297,227,59,37,201,191,70,44,113
599,Randeep Kaur Khehra,20,31,19,1,0,0,15,4,12
600,Ranidu Chamara,0,0,0,0,0,0,0,0,0
